text,language
मैं Python सीख रहा हूँ,Hindi
आइए एक खेल खेलते हैं,Hindi
मैं खरीदारी करने जा रहा हूँ,Hindi
मौसम अच्छा है,Hindi
मुझे अपने परिवार से प्यार है,Hindi
मैं खुश हूँ,Hindi
कृपया मुझे दिशा दिखाएँ,Hindi
मुझे खेल पसंद हैं,Hindi
मैं पढ़ाई कर रहा हूँ,Hindi
मुझे तैरना पसंद है,Hindi
मैं एक किताब पढ़ रहा हूँ,Hindi
क्या आप इसे दोहरा सकते हैं?,Hindi
मुझे चॉकलेट पसंद है,Hindi
मैं थका हुआ हूँ,Hindi
आज बहुत गर्मी है,Hindi
मैं काम पर जा रहा हूँ,Hindi
क्या आप मेरी मदद कर सकते हैं?,Hindi
मैं उत्साहित हूँ,Hindi
Ciao, come stai?,Italian
Buongiorno!,Italian
Salve!,Italian
Mi chiamo Marco,Italian
Oggi è una bella giornata,Italian
A presto!,Italian
Buona giornata!,Italian
Grazie!,Italian
Puoi aiutarmi?,Italian
Sto imparando AI,Italian
Dov'è la stazione più vicina?,Italian
Parli italiano?,Italian
Mi piace leggere libri,Italian
Andiamo al parco,Italian
Questa è la mia canzone preferita,Italian
Buon compleanno!,Italian
Che ore sono?,Italian
Oggi mi sento molto bene,Italian
Piacere di conoscerti,Italian
Ho fame,Italian
Sta piovendo fuori,Italian
Mi chiamo Marco,Italian
Vengo dall'Italia,Italian
Posso farti una domanda?,Italian
Mi piace viaggiare,Italian
Di dove sei?,Italian
Sono stanco,Italian
Ti piace il caffè?,Italian
Ho bisogno d'acqua,Italian
Sto guardando un film,Italian
È delizioso,Italian
Amo la musica,Italian
Quanti anni hai?,Italian
Sto imparando Python,Italian
Giochiamo a un gioco,Italian
Vado a fare shopping,Italian
Il tempo è bello,Italian
Amo la mia famiglia,Italian
Sono felice,Italian
Per favore, indicami la strada,Italian
Mi piace fare sport,Italian
Sto studiando,Italian
Mi piace nuotare,Italian
Sto leggendo un libro,Italian
Puoi ripetere?,Italian
Mi piace il cioccolato,Italian
Sono stanco,Italian
Oggi fa molto caldo,Italian
Vado al lavoro,Italian
Puoi aiutarmi con questo?,Italian
Sono emozionato,Italian
Olá, como você está?,Portuguese
Bom dia!,Portuguese
Oi!,Portuguese
Meu nome é João,Portuguese
Hoje está ensolarado,Portuguese
Até logo!,Portuguese
Tenha um bom dia!,Portuguese
Muito obrigado.,Portuguese
Você pode me ajudar?,Portuguese
Estou aprendendo IA,Portuguese
Onde fica a estação mais próxima?,Portuguese
Você fala português?,Portuguese
Eu gosto de ler livros.,Portuguese
Vamos ao parque,Portuguese
Esta é minha música favorita.,Portuguese
Feliz aniversário!,Portuguese
Que horas são?,Portuguese
Hoje estou me sentindo muito bem,Portuguese
Prazer em conhecê-lo.,Portuguese
Estou com fome.,Portuguese
Está chovendo lá fora.,Portuguese
Meu nome é João.,Portuguese
Eu sou do Brasil.,Portuguese
Posso te fazer uma pergunta?,Portuguese
Eu gosto de viajar.,Portuguese
De onde você é?,Portuguese
Estou cansado.,Portuguese
Você gosta de café?,Portuguese
Preciso de água.,Portuguese
Estou assistindo a um filme.,Portuguese
Isso é delicioso.,Portuguese
Eu gosto de música.,Portuguese
Quantos anos você tem?,Portuguese
Estou aprendendo Python.,Portuguese
Vamos jogar um jogo.,Portuguese
Vou fazer compras.,Portuguese
O tempo está bom.,Portuguese
Amo minha família.,Portuguese
Estou feliz.,Portuguese
Por favor, me dê direções.,Portuguese
Gosto de esportes.,Portuguese
Estou estudando.,Portuguese
Gosto de nadar.,Portuguese
Estou lendo um livro.,Portuguese
Você pode repetir isso?,Portuguese
Gosto de chocolate.,Portuguese
Estou com sono.,Portuguese
Está muito quente hoje.,Portuguese
Vou trabalhar.,Portuguese
Você pode me ajudar com isso?,Portuguese
Estou animado.,Portuguese
Привет, как дела?,Russian
Доброе утро!,Russian
Привет!,Russian
Меня зовут Анна,Russian
Сегодня солнечно.,Russian
До скорого!,Russian
Хорошего дня!,Russian
Большое спасибо.,Russian
Вы можете мне помочь?,Russian
Я изучаю ИИ,Russian
Где ближайшая станция?,Russian
Вы говорите по-русски?,Russian
Мне нравится читать книги.,Russian
Пойдем в парк.,Russian
Это моя любимая песня.,Russian
С днем рождения!,Russian
Который час?,Russian
Сегодня я чувствую себя прекрасно.,Russian
Приятно познакомиться.,Russian
Я голоден.,Russian
На улице идет дождь.,Russian
Меня зовут Анна.,Russian
Я из России.,Russian
Могу я задать вопрос?,Russian
Мне нравится путешествовать.,Russian
Откуда вы?,Russian
Я устал.,Russian
Вам нравится кофе?,Russian
Мне нужна вода.,Russian
Я смотрю фильм.,Russian
Это вкусно.,Russian
Мне нравится музыка.,Russian
Сколько тебе лет?,Russian
Я учу Python.,Russian
Давай сыграем в игру.,Russian
Я иду за покупками.,Russian
Погода хорошая.,Russian
Я люблю свою семью.,Russian
Я счастлив.,Russian
Пожалуйста, покажите мне дорогу.,Russian
Мне нравится спорт.,Russian
Я учусь.,Russian
Мне нравится плавать.,Russian
Я читаю книгу.,Russian
Можете повторить?,Russian
Мне нравится шоколад.,Russian
Я устал.,Russian
Сегодня очень жарко.,Russian
Я иду на работу.,Russian
Вы можете мне помочь с этим?,Russian
Я взволнован.,Russian
こんにちは、お元気ですか？,Japanese
おはようございます!,Japanese
やあ!,Japanese
私の名前はタカシです,Japanese
今日は晴れです。,Japanese
またね!,Japanese
良い一日を！,Japanese
ありがとうございます。,Japanese
手伝ってくれますか？,Japanese
私はAIを勉強しています。,Japanese
最寄りの駅はどこですか？,Japanese
日本語を話せますか？,Japanese
私は本を読むのが好きです。,Japanese
公園に行きましょう。,Japanese
これは私のお気に入りの歌です。,Japanese
お誕生日おめでとう！,Japanese
今何時ですか？,Japanese
今日はとても気分がいいです。,Japanese
はじめまして。,Japanese
お腹が空きました。,Japanese
外は雨が降っています。,Japanese
私の名前はタカシです。,Japanese
私は日本から来ました。,Japanese
質問してもいいですか？,Japanese
旅行が好きです。,Japanese
あなたはどこから来ましたか？,Japanese
疲れました。,Japanese
コーヒーは好きですか？,Japanese
水が必要です。,Japanese
映画を見ています。,Japanese
これは美味しいです。,Japanese
音楽が好きです。,Japanese
何歳ですか？,Japanese
Pythonを勉強しています。,Japanese
ゲームをしましょう。,Japanese
買い物に行きます。,Japanese
天気がいいです。,Japanese
家族が大好きです。,Japanese
私は幸せです。,Japanese
道を教えてください。,Japanese
スポーツが好きです。,Japanese
勉強しています。,Japanese
泳ぐのが好きです。,Japanese
本を読んでいます。,Japanese
もう一度言ってくれますか？,Japanese
チョコレートが好きです。,Japanese
疲れました。,Japanese
今日はとても暑いです。,Japanese
仕事に行きます。,Japanese
これを手伝ってくれますか？,Japanese
楽しみです。,Japanese



